ts,bearing,raw,confidence,snr_db,coherence,signal_strength
2026-02-05T06:00:00.326Z,147.7,213.8,0.00,-42.7,0.00,0.01
2026-02-05T06:00:00.326Z,193.4,284.5,0.20,-42.7,0.50,0.01
2026-02-05T06:00:00.326Z,212.9,218.8,0.00,-42.7,0.00,0.01
2026-02-05T06:00:00.327Z,235.6,315.6,0.20,-42.7,0.50,0.01
2026-02-05T06:00:00.327Z,217.6,55.2,0.20,-42.7,0.50,0.01
2026-02-05T06:00:00.327Z,232.0,286.0,0.11,-48.3,0.28,0.00
2026-02-05T06:00:00.327Z,242.8,338.3,0.10,-47.4,0.24,0.00
2026-02-05T06:00:00.327Z,212.7,68.5,0.09,-47.4,0.22,0.00
2026-02-05T06:00:00.328Z,218.2,343.2,0.10,-47.4,0.24,0.00
2026-02-05T06:00:00.328Z,219.2,60.0,0.09,-47.4,0.22,0.00
2026-02-05T06:00:00.328Z,189.9,139.6,0.09,-47.4,0.22,0.00
2026-02-05T06:00:00.328Z,139.6,86.8,0.09,-47.4,0.22,0.00
2026-02-05T06:00:00.328Z,156.4,152.3,0.09,-47.4,0.22,0.00
2026-02-05T06:00:00.328Z,131.8,220.1,0.10,-47.4,0.24,0.00
2026-02-05T06:00:00.329Z,177.7,289.6,0.03,-42.1,0.07,0.01
2026-02-05T06:00:00.329Z,155.7,29.9,0.15,-40.0,0.38,0.01
2026-02-05T06:00:00.329Z,164.9,132.3,0.00,-40.0,0.00,0.01
2026-02-05T06:00:00.329Z,146.0,57.7,0.15,-40.0,0.38,0.01
2026-02-05T06:00:00.329Z,131.1,145.9,0.00,-40.0,0.00,0.01
2026-02-05T06:00:00.330Z,120.6,237.3,0.02,-40.0,0.06,0.01
2026-02-05T06:00:00.330Z,144.8,150.9,0.00,-40.0,0.00,0.01
2026-02-05T06:00:00.330Z,163.8,227.0,0.02,-40.0,0.06,0.01
2026-02-05T06:00:00.330Z,202.5,251.6,0.02,-40.0,0.06,0.01
2026-02-05T06:00:00.330Z,214.0,203.3,0.05,-47.0,0.12,0.00
2026-02-05T06:00:00.331Z,215.6,245.1,0.15,-44.1,0.38,0.01
2026-02-05T06:00:00.331Z,247.6,311.0,0.15,-44.2,0.38,0.01
2026-02-05T06:00:00.331Z,252.1,249.6,0.15,-44.1,0.38,0.01
2026-02-05T06:00:00.331Z,272.1,351.2,0.16,-44.1,0.38,0.01
2026-02-05T06:00:00.331Z,250.8,96.9,0.03,-44.1,0.07,0.01
2026-02-05T06:00:00.332Z,206.3,22.7,0.16,-44.1,0.38,0.01
2026-02-05T06:00:00.332Z,166.5,111.9,0.03,-44.1,0.07,0.01
2026-02-05T06:00:00.332Z,157.5,204.7,0.03,-44.1,0.07,0.01
2026-02-05T06:00:00.332Z,123.7,182.5,0.08,-45.5,0.20,0.01
2026-02-05T06:00:00.333Z,161.2,284.4,0.10,-45.7,0.26,0.01
2026-02-05T06:00:00.333Z,157.3,3.2,0.05,-45.7,0.13,0.01
2026-02-05T06:00:00.333Z,198.4,317.3,0.00,-45.7,0.00,0.01
2026-02-05T06:00:00.333Z,161.3,18.8,0.05,-45.7,0.13,0.01
2026-02-05T06:00:00.334Z,141.7,84.9,0.05,-45.7,0.13,0.01
2026-02-05T06:00:00.334Z,99.6,73.8,0.05,-45.7,0.13,0.01
2026-02-05T06:00:00.334Z,134.6,178.4,0.10,-45.7,0.25,0.01
2026-02-05T06:00:00.334Z,141.9,353.7,0.00,-45.7,0.00,0.01
2026-02-05T06:00:00.334Z,159.2,105.2,0.00,-38.1,0.00,0.01
2026-02-05T06:00:00.335Z,180.6,192.2,0.00,-37.3,0.00,0.01
2026-02-05T06:00:00.335Z,176.4,52.7,0.23,-37.3,0.58,0.01
2026-02-05T06:00:00.335Z,184.1,216.6,0.00,-37.3,0.00,0.01
2026-02-05T06:00:00.335Z,171.7,291.7,0.23,-37.3,0.58,0.01
2026-02-05T06:00:00.336Z,152.8,10.8,0.23,-37.3,0.58,0.01
2026-02-05T06:00:00.336Z,167.6,266.1,0.23,-37.3,0.58,0.01
2026-02-05T06:00:00.336Z,222.0,324.7,0.23,-37.3,0.58,0.01
2026-02-05T06:00:00.336Z,184.0,26.9,0.23,-37.3,0.58,0.01
2026-02-05T06:00:00.337Z,139.7,69.9,0.03,-51.9,0.08,0.00
2026-02-05T06:00:00.337Z,174.0,182.7,0.00,-53.2,0.00,0.00
2026-02-05T06:00:00.337Z,168.3,237.3,0.09,-53.2,0.23,0.00
2026-02-05T06:00:00.337Z,145.9,212.8,0.09,-53.2,0.23,0.00
2026-02-05T06:00:00.337Z,201.3,303.9,0.09,-53.2,0.23,0.00
2026-02-05T06:00:00.338Z,220.8,167.1,0.00,-53.2,0.00,0.00
2026-02-05T06:00:00.338Z,250.3,330.3,0.09,-53.2,0.23,0.00
2026-02-05T06:00:00.338Z,211.9,45.2,0.00,-53.2,0.00,0.00
2026-02-05T06:00:00.338Z,194.2,124.6,0.03,-53.2,0.08,0.00
2026-02-05T06:00:00.339Z,191.8,291.7,0.17,-43.9,0.42,0.01
2026-02-05T06:00:00.339Z,166.7,41.5,0.14,-41.2,0.34,0.01
2026-02-05T06:00:00.339Z,109.6,44.8,0.14,-41.2,0.34,0.01
